id,currency_value,currency_nominal,currency_name,currency_code,currency_date
1,40.975,1,Австралийский доллар,AUD,2022-11-26
2,35.5763,1,Азербайджанский манат,AZN,2022-11-26
3,73.4345,1,Фунт стерлингов Соединенного королевства,GBP,2022-11-26
4,15.3094,100,Армянских драмов,AMD,2022-11-26
5,25.032,1,Белорусский рубль,BYN,2022-11-26
6,32.1992,1,Болгарский лев,BGN,2022-11-26
7,11.3799,1,Бразильский реал,BRL,2022-11-26
8,15.2342,100,Венгерских форинтов,HUF,2022-11-26
9,77.5281,10,Гонконгских долларов,HKD,2022-11-26
10,84.6829,10,Датских крон,DKK,2022-11-26
11,60.4797,1,Доллар США,USD,2022-11-26
12,62.8762,1,Евро,EUR,2022-11-26
13,74.0288,100,Индийских рупий,INR,2022-11-26
14,12.9799,100,Казахстанских тенге,KZT,2022-11-26
15,45.3439,1,Канадский доллар,CAD,2022-11-26
16,71.616,100,Киргизских сомов,KGS,2022-11-26
17,84.2448,10,Китайских юаней,CNY,2022-11-26
18,31.3443,10,Молдавских леев,MDL,2022-11-26
19,60.9705,10,Норвежских крон,NOK,2022-11-26
20,13.3837,1,Польский злотый,PLN,2022-11-26
21,12.7924,1,Румынский лей,RON,2022-11-26
22,79.1595,1,СДР (специальные права заимствования),XDR,2022-11-26
23,44.0814,1,Сингапурский доллар,SGD,2022-11-26
24,59.2357,10,Таджикских сомони,TJS,2022-11-26
25,32.4788,10,Турецких лир,TRY,2022-11-26
26,17.2799,1,Новый туркменский манат,TMT,2022-11-26
27,53.8536,10000,Узбекских сумов,UZS,2022-11-26
28,16.376,10,Украинских гривен,UAH,2022-11-26
29,25.8162,10,Чешских крон,CZK,2022-11-26
30,58.1429,10,Шведских крон,SEK,2022-11-26
31,63.9794,1,Швейцарский франк,CHF,2022-11-26
32,35.402,10,Южноафриканских рэндов,ZAR,2022-11-26
33,45.6899,1000,Вон Республики Корея,KRW,2022-11-26
34,43.5012,100,Японских иен,JPY,2022-11-26
