id,currency_value,currency_nominal,currency_name,currency_code,currency_date
1,45.8756,1,Австралийский доллар,AUD,2022-12-24
2,40.3976,1,Азербайджанский манат,AZN,2022-12-24
3,82.6172,1,Фунт стерлингов Соединенного королевства,GBP,2022-12-24
4,17.4389,100,Армянских драмов,AMD,2022-12-24
5,25.5083,1,Белорусский рубль,BYN,2022-12-24
6,37.3361,1,Болгарский лев,BGN,2022-12-24
7,13.2405,1,Бразильский реал,BRL,2022-12-24
8,18.1875,100,Венгерских форинтов,HUF,2022-12-24
9,88.1931,10,Гонконгских долларов,HKD,2022-12-24
10,98.1927,10,Датских крон,DKK,2022-12-24
11,68.676,1,Доллар США,USD,2022-12-24
12,73.0407,1,Евро,EUR,2022-12-24
13,82.9236,100,Индийских рупий,INR,2022-12-24
14,14.7064,100,Казахстанских тенге,KZT,2022-12-24
15,50.29,1,Канадский доллар,CAD,2022-12-24
16,80.1541,100,Киргизских сомов,KGS,2022-12-24
17,97.5884,10,Китайских юаней,CNY,2022-12-24
18,35.6144,10,Молдавских леев,MDL,2022-12-24
19,69.6751,10,Норвежских крон,NOK,2022-12-24
20,15.682,1,Польский злотый,PLN,2022-12-24
21,14.8714,1,Румынский лей,RON,2022-12-24
22,91.4373,1,СДР (специальные права заимствования),XDR,2022-12-24
23,50.7883,1,Сингапурский доллар,SGD,2022-12-24
24,67.278,10,Таджикских сомони,TJS,2022-12-24
25,36.7861,10,Турецких лир,TRY,2022-12-24
26,19.6217,1,Новый туркменский манат,TMT,2022-12-24
27,61.1797,10000,Узбекских сумов,UZS,2022-12-24
28,18.5947,10,Украинских гривен,UAH,2022-12-24
29,30.1581,10,Чешских крон,CZK,2022-12-24
30,65.5612,10,Шведских крон,SEK,2022-12-24
31,73.7421,1,Швейцарский франк,CHF,2022-12-24
32,40.1285,10,Южноафриканских рэндов,ZAR,2022-12-24
33,53.6196,1000,Вон Республики Корея,KRW,2022-12-24
34,51.7723,100,Японских иен,JPY,2022-12-24
